#Autoshun shunlist by RiskAnalytics is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.
#Commercial, educational, distribution, reuse, reseller and other license terms are available upon request.
#Contact us at sales@riskanalytics.com for special license needs
#Shunlist as of Wed, 11 Oct 2017 21:30:40 -0500
1.55.177.18,2017-10-05 08:01:09,"busybox MIRAI hackers - Possible Brute Force Attack"
1.180.189.18,2017-09-28 08:01:11,"busybox MIRAI hackers - Possible Brute Force Attack"
2.63.17.68,2017-09-27 14:41:32,"busybox MIRAI hackers - Possible Brute Force Attack"
2.224.132.113,2017-09-28 08:01:10,"busybox MIRAI hackers - Possible Brute Force Attack"
5.39.223.234,2017-09-27 02:17:40,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.61.237.21,2017-09-27 18:11:44,"Recon scan activity detected in scoreboard data"
5.83.160.88,2017-09-28 08:01:12,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
5.136.79.34,2017-09-27 21:14:04,"busybox MIRAI hackers - Possible Brute Force Attack"
5.136.255.139,2017-09-29 08:01:10,"busybox MIRAI hackers - Possible Brute Force Attack"
5.137.136.102,2017-09-27 01:50:23,"busybox MIRAI hackers - Possible Brute Force Attack"
5.141.47.64,2017-09-29 08:01:13,"busybox MIRAI hackers - Possible Brute Force Attack"
5.141.108.153,2017-10-03 08:01:09,"busybox MIRAI hackers - Possible Brute Force Attack"
5.141.216.240,2017-10-02 08:01:10,"busybox MIRAI hackers - Possible Brute Force Attack"
5.150.244.164,2017-10-11 21:02:59,"busybox MIRAI hackers - Possible Brute Force Attack"
5.229.199.36,2017-09-27 10:12:20,"busybox MIRAI hackers - Possible Brute Force Attack"
13.65.148.116,2017-09-27 11:23:08,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
14.27.81.89,2017-09-27 05:58:45,"busybox MIRAI hackers - Possible Brute Force Attack"
14.134.6.115,2017-09-27 05:33:13,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
14.153.151.113,2017-09-27 23:55:34,"busybox MIRAI hackers - Possible Brute Force Attack"
14.163.95.87,2017-09-28 08:01:11,"busybox MIRAI hackers - Possible Brute Force Attack"
